Elapsed Time[s]	Write 0 [A]	
0.0000	0.710	
0.0002	0.711	
0.0004	0.710	
0.0006	0.710	
0.0008	0.710	
0.0010	0.710	
0.0012	0.710	
0.0014	0.711	
0.0016	0.711	
0.0018	0.711	
0.0020	0.711	
0.0022	0.710	
0.0024	0.711	
0.0026	0.711	
0.0028	0.713	
0.0030	0.710	
0.0032	0.708	
0.0034	0.711	
0.0036	0.710	
0.0038	0.711	
0.0040	0.711	
0.0042	0.711	
0.0044	0.710	
0.0046	0.711	
0.0048	0.711	
0.0050	0.710	
0.0052	0.712	
0.0054	0.711	
0.0056	0.711	
0.0058	0.708	
0.0060	0.711	
0.0062	0.711	
0.0064	0.712	
0.0066	0.712	
0.0068	0.711	
0.0070	0.710	
0.0072	0.712	
0.0074	0.711	
0.0076	0.711	
0.0078	0.711	
0.0080	0.710	
0.0082	0.710	
0.0084	0.711	
0.0086	0.711	
0.0088	0.713	
0.0090	0.711	
0.0092	0.711	
0.0094	0.711	
0.0096	0.711	
0.0098	0.711	
0.0100	0.711	
0.0102	0.711	
0.0104	0.711	
0.0106	0.711	
0.0108	0.711	
0.0110	0.711	
0.0112	0.710	
0.0114	0.710	
0.0116	0.711	
0.0118	0.711	
0.0120	0.710	
0.0122	0.711	
0.0124	0.711	
0.0126	0.711	
0.0128	0.710	
0.0130	0.710	
0.0132	0.710	
0.0134	0.711	
0.0136	0.711	
0.0138	0.711	
0.0140	0.710	
0.0142	0.709	
0.0144	0.710	
0.0146	0.711	
0.0148	0.708	
0.0150	0.711	
0.0152	0.710	
0.0154	0.710	
0.0156	0.711	
0.0158	0.712	
0.0160	0.709	
0.0162	0.710	
0.0164	0.710	
0.0166	0.711	
0.0168	0.711	
0.0170	0.710	
0.0172	0.710	
0.0174	0.710	
0.0176	0.711	
0.0178	0.711	
0.0180	0.710	
0.0182	0.710	
0.0184	0.710	
0.0186	0.711	
0.0188	0.710	
0.0190	0.711	
0.0192	0.710	
0.0194	0.710	
0.0196	0.710	
0.0198	0.710	
0.0200	0.709	
0.0202	0.709	
0.0204	0.710	
0.0206	0.710	
0.0208	0.710	
0.0210	0.710	
0.0212	0.709	
0.0214	0.710	
0.0216	0.710	
0.0218	0.710	
0.0220	0.711	
0.0222	0.711	
0.0224	0.710	
0.0226	0.711	
0.0228	0.710	
0.0230	0.710	
0.0232	0.710	
0.0234	0.710	
0.0236	0.711	
0.0238	0.710	
0.0240	0.711	
0.0242	0.711	
0.0244	0.709	
0.0246	0.710	
0.0248	0.710	
0.0250	0.711	
0.0252	0.710	
0.0254	0.710	
0.0256	0.709	
0.0258	0.710	
0.0260	0.712	
0.0262	0.711	
0.0264	0.711	
0.0266	0.710	
0.0268	0.711	
0.0270	0.710	
0.0272	0.711	
0.0274	0.711	
0.0276	0.711	
0.0278	0.711	
0.0280	0.710	
0.0282	0.711	
0.0284	0.710	
0.0286	0.711	
0.0288	0.710	
0.0290	0.711	
0.0292	0.710	
0.0294	0.711	
0.0296	0.711	
0.0298	0.711	
0.0300	0.711	
0.0302	0.711	
0.0304	0.711	
